Superficie,Rooms,Bedrooms,Price,Location,description,Loc_Paris,m2,nb_bat,nb_good,nb_bain,Cave,balc_terr,Chauffage,Rénové,Parking,Chauffage_Central,Chauffage_Individuel,Price_int,Last_etage
33m²,1 p.,0 p.,328 600 ,Paris 19 (75019)|Secrétan - Jaurès...,"Ref de l'annonce
:Grand Studio
Parking
Etage du bien
:1er
Nombre d'étages du bâtiment
:14
Ascenseur
Nombre de salle de bain
:1",19,33,14,1,1,0,0,Unknown,0,1,0,0,12.702596484585305,0
122m²,5 p.,4 p.,1 940 000 ,"Paris 04 (75004)
Paris 4ème","Ref de l'annonce
:158
Parking
Terrasse/Balcon
:Terrasse
Etage du bien
:2e
Nombre d'étages du bâtiment
:4
Cave
Ascenseur
Accès handicapé
Nombre de salle de bain
:1",4,122,4,2,1,1,Terrasse,Unknown,0,1,0,0,14.47819853103951,0
32m²,1 p.,0 p.,375 000 ,"Paris 15 (75015)
Paris 15ème","Ref de l'annonce
:162373805
Chauffage
:Au gaz
Etage du bien
:8e
Nombre d'étages du bâtiment
:9
Cave
Ascenseur",15,32,9,8,0,1,0,Au gaz,0,0,0,0,12.834681304952548,0
67m²,3 p.,2 p.,745 000 ,"Paris 11 (75011)
Paris 11ème","Ref de l'annonce
:1513
Chauffage
:Individuel, au gaz
Etage du bien
:5e
Nombre d'étages du bâtiment
:6
Cave
Nombre de salle de bain
:1",11,67,6,5,1,1,0,"Individuel, au gaz",0,0,0,1,13.521139497361697,0
29m²,1 p.,0 p.,346 500 ,"Paris 20 (75020)
Alexandre Dumas","Ref de l'annonce
:0147
Parking
Etage du bien
:4e
Nombre d'étages du bâtiment
:5
Ascenseur
Accès handicapé",20,29,5,4,0,0,0,Unknown,0,1,0,0,12.755638097612096,0
63m²,3 p.,2 p.,787 500 ,"Paris 15 (75015)
Paris 15ème","Ref de l'annonce
:75401
Etage du bien
:2e
Nombre d'étages du bâtiment
:6
Cave
Ascenseur
Nombre de salle de bain
:1",15,63,6,2,1,1,0,Unknown,0,0,0,0,13.576618649681926,0
28m²,1 p.,0 p.,355 000 ,"Paris 15 (75015)
Paris 15ème","Ref de l'annonce
:75177
Rénové
Chauffage
:électrique
Etage du bien
:1er
Nombre d'étages du bâtiment
:6",15,28,6,1,0,0,0,électrique,1,0,0,0,12.779873068457553,0
129m²,6 p.,3 p.,1 650 000 ,"Paris 17 (75017)
Paris 17ème","Ref de l'annonce
:207
Chauffage
:Individuel
Etage du bien
:1er
Nombre d'étages du bâtiment
:3
Cave
Nombre de salle de bain
:1",17,129,3,1,1,1,0,Individuel,0,0,0,1,14.316285845876763,0
53m²,2 p.,1 p.,598 000 ,"Paris 16 (75016)
Paris","Ref de l'annonce
:vlx16_paris
Rénové
Chauffage
:Central
Etage du bien
:6e
Nombre d'étages du bâtiment
:7
Cave
Ascenseur
Accès handicapé
Nombre de salle de bain
:1",16,53,7,6,1,1,0,Central,1,0,1,0,13.301346032932768,0
87m²,4 p.,2 p.,999 000 ,"Paris 17 (75017)
Paris 17ème","Ref de l'annonce
:VA2148-INNOVEIMMO
Chauffage
:Central
Etage du bien
:1er
Nombre d'étages du bâtiment
:5
Cave
Ascenseur
Sécurité
:Gardien
Nombre de salle de bain
:1",17,87,5,1,1,1,0,Central,0,0,1,0,13.81451005763069,0
189m²,6 p.,4 p.,2 490 000 ,"Paris 08 (75008)
Paris 8ème","Ref de l'annonce
:LKM29571
Chauffage
:Au gaz
Parking
Terrasse/Balcon
:Balcon
Etage du bien
:2e
Nombre d'étages du bâtiment
:4
Cave
Nombre de salle de bain
:1",8,189,4,2,1,1,Balcon,Au gaz,0,1,0,0,14.727793268440891,0
120m²,5 p.,3 p.,1 456 000 ,"Paris 10 (75010)
Paris 10ème","Ref de l'annonce
:529
Terrasse/Balcon
:Balcon
Etage du bien
:5e
Nombre d'étages du bâtiment
:5
Cave
Ascenseur
Sécurité
:Gardien
Nombre de salle de bain
:1",10,120,5,5,1,1,Balcon,Unknown,0,0,0,0,14.191203507738768,1
25m²,2 p.,1 p.,385 000 ,"Paris 02 (75002)
Paris 2ème","Ref de l'annonce
:524
Etage du bien
:3e
Nombre d'étages du bâtiment
:6",2,25,6,3,0,0,0,Unknown,0,0,0,0,12.86099861326992,0
102m²,4 p.,3 p.,1 172 000 ,"Paris 18 (75018)
Paris 18ème","Ref de l'annonce
:403
Chauffage
:Individuel
Terrasse/Balcon
:Terrasse
Etage du bien
:4e
Nombre d'étages du bâtiment
:4
Ascenseur
Accès handicapé
Nombre de salle de bain
:1",18,102,4,4,1,0,Terrasse,Individuel,0,0,0,1,13.974222249119094,1
23m²,1 p.,0 p.,313 500 ,"Paris 01 (75001)
Paris 1er","Ref de l'annonce
:1315
Chauffage
:Individuel
Etage du bien
:4e
Nombre d'étages du bâtiment
:5",1,23,5,4,0,0,0,Individuel,0,0,0,1,12.655554639055113,0
69m²,3 p.,2 p.,850 000 ,"Paris 17 (75017)
Paris 17ème","Ref de l'annonce
:6711
Terrasse/Balcon
:Balcon
Etage du bien
:8e
Nombre d'étages du bâtiment
:9
Cave
Ascenseur
Sécurité
:Gardien
Nombre de salle de bain
:1",17,69,9,8,1,1,Balcon,Unknown,0,0,0,0,13.652991628466498,0
91m²,4 p.,3 p.,980 000 ,"Paris 18 (75018)
Paris 18ème","Ref de l'annonce
:266d2d
Chauffage
:Individuel
Etage du bien
:3e
Nombre d'étages du bâtiment
:7
Cave
Ascenseur
Sécurité
:Gardien
Nombre de salle de bain
:1",18,91,7,3,1,1,0,Individuel,0,0,0,1,13.795307850646754,0
79m²,3 p.,1 p.,1 190 000 ,"Paris 02 (75002)
Bourse","Ref de l'annonce
:379
Chauffage
:Individuel, au gaz
Etage du bien
:6e
Nombre d'étages du bâtiment
:6
Cave
Ascenseur
Accès handicapé
Nombre de salle de bain
:1",2,79,6,6,1,1,0,"Individuel, au gaz",0,0,0,1,13.989463865087712,1
